id,title,commemorating,date_of_incident,description,inscription,address,location_guide,map_grid_ref,previous_location,nature,physical_type,physical_materials,setting,access,post_unveiling,commissioned_by,artist(s),date_unveiled,comments,gps_x,gps_y
1008,UDR Memorial (Carrickfergus),"Two part-time members of A Coy. 9 UDR killed in the conflict: Henry Russell (13 July 1972) and Carlton (8 January 1982). Also one part-time member of 5 UDR: Walter Kerr (2 November 1977)
 Person(s) commemorated",,Rectangular-shaped stone plaque built into a low stone built column.,Single inscription.,"Carrickfergus War Memorial (near), Joymount, Carrickfergus,  County Antrim, Northern Ireland. BT38 ???",Next to the main War Memorial in Carrickfergus; just off Marine Highway (A2).,IJ416875,,"British Security, British Army, UDR",Plaque,Stone Marble Sandstone??,Garden,Public Unrestricted,,,,,Carlton is spelt Carleton in Sutton's Index of Deaths.,54.71599339884547,-5.803406859226136
1011,Wesley Orr Window ? - (nvtd),Person(s) commemorated,,,,"Lisburn Methodist Church  Lisburn,  County Antrim, Northern Ireland.",,IJ262642,,Civilian,"Other, Window, Stained-glass window",,"Building Interior, Church",,,,,1985,,54.51049067829939,-6.052287066791699
1012,Josephy McIlwaine Plaque ? - (nvtd),Person(s) commemorated,,,,"Aberdelgy Golf Club Lambeg, near Lisburn,  County Antrim, Northern Ireland.",,IJ280661,,"British Security, British Army, UDR",Plaque,,Building Interior,,,,,1991,,54.52710799417736,-6.024307760951169
1013,UDA / UFF Mural ? - (nvtd),Person(s) commemorated,,,,"Queens Avenue, Glengormley, Newtownabbey,  County Antrim, Northern Ireland.",,IJ318832,,"Paramilitary, Loyalist, UDA, UFF",Mural,,Street,,,UDA/UFF,,2000,,54.67919402997666,-5.957648098704529
1014,Memorial Bus,"Twelve staff of Ulsterbus, Citybus and Belfast Corporation who were killed in the course of their duties during the conflict.
 Person(s) commemorated",18 January 1972,A Daimler Fleetline double-deck bus.,Inscription on an information panel beside the bus.,"Ulster Folk and Transport Museum, Bangor Road (off), Cultra,  County Down, Northern Ireland. BT18 0EU",The bus is on display in the Road Transport Gallery of the Ulster Folk and Transport Museum.,IJ417808,,Civilian,"Other, Bus",Metal,"Other, Museum Transport Gallery (interior)",Private Restricted (can only be viewed upon entry to the museum),,Translink,,,The double-deck bus was presented to the Ulster Folk and Transport Museum as a memorial to bus employees who were killed in the conflict.,54.65582865086672,-5.804888601031757
1015,UVF Mural and Memorial Garden - (nvtd),Person(s) commemorated,,Mural and memorial garden,,"Park Hall Road, Steeple Hill, Antrim,  County Antrim, Northern Ireland.",,IJ156876,,"Paramilitary, Loyalist, UVF",Mural,,Garden ?,,,,,,,54.7235748866868,-6.206597469636825
1016,IRA Memorial (Dunloy),"Two IRA volunteers Henry Hogan and Declan Martin who were killed by the British Army on 21st February 1984.
 Person(s) commemorated",21 February 1984,"Inscribed headstone on small plinth, at the end of a stone path, within a small memorial garden, enclosed with a low wall and an ornate gate.",Several inscriptions in English with some Irish text.,"Carness Drive, Tullaghans Road (off), Dunloy,  County Antrim, Northern Ireland. BT44 9EW","Approximately 500 metres west of the centre of the village of Dunloy along the Tullaghans Road, then right and approximately 100 metres along the Carness Drive.",ID013194,,"Paramilitary, Republican, IRA",Memorial Garden,Stone Marble ? Brick; Hard Land-scaping,Street,Public Unrestricted,"Between the first visit in March 2009 and the second visit in May 2010, the memorial site was renovated. Work to the ground immediately outside was also undertaken.","""Erected by the People of Co. Antrim and Co. Derry""",,,,55.01189685684245,-6.4177508352084445
1017,Cyril Smith Cairn,"RIR soldier Cyril Smith
 Person(s) commemorated",24 October 1990,Rectangular-shaped metal plaque attached to a rough cut boulder.,Dedication and description of incident.,"Carrickfergus War Memorial (near), Joymount, Carrickfergus,  County Antrim, Northern Ireland. BT38 ???",Next to the main War Memorial in Carrickfergus; just off Marine Highway (A2).,IJ416876,,"British Security, British Army, RIR",Plaque,"Metal Brass??, Stone Granite",Garden,Public Unrestricted,,,,,,54.716027898611586,-5.803327391644557
1018,The War Memorial (Carrickfergus),"Citizens of the Borough who died in two World Wars and in subsequent conflict.s
 Person(s) commemorated",,Series of stone built columns arranged in a semi-circle around a large memorial stone set on a platform.,Single inscritpion.,"Carrickfergus War Memorial, Joymount, Carrickfergus,  County Antrim, Northern Ireland. BT38 ???",The War Memorial in Carrickfergus; just off Marine Highway (A2).,IJ416876,,"British Security, British Army, RIR",Memorial Stone,"Stone Granite Brick, Hard Landscaping",Garden,Public Unrestricted,,,,,,54.716023681724266,-5.803094815584998
1019,South-East Antrim Memorial (East Way Social Club),"Members of the South-East Antrim Brigade of the UDA/UFF.
 Person(s) commemorated",,"Small stone-built wall containing two plaques, inside a semi-circular enclosure with double front gate. Metal hooks on boundary wall for wreaths.",Two inscriptions.,"East Way Social Club, East Way, Rathcoole, Belfast North,  County Antrim, Northern Ireland.",In the grounds of East Way Social Club (formerly the Alpha Club); to the left of the front gate.,IJ344821,,"Paramilitary, Loyalist, UDA, UFF","Memorial Enclosure, and Plaques","Stone Marble Limestone, Metal Iron",Building Grounds,"Private, Restricted (permission required to visit memorial)",,,,,,54.66907763395872,-5.917587525310649
102,Alexander Bannister Plaque ? - (nvtd),"Alexander Bannister who was shot by the IRA in Belfast.
 Person(s) commemorated",08 August 1988,,,"St Peter and St Paul Church, Castleway, Leybourne,  Kent, England.",,,,"British Security, British Army",Plaque,,"Building Interior, Church",,,,,,,51.29258975546672,0.8158731918383922
1020,Randalstown War Memorial,"Those who died in ""the two World Wars and in all other conflicts"".
 Person(s) commemorated",,A medium-sized garden containing a stone built column with plaque.,Several inscriptions,"Randalstown War Memorial, Portglenone Road (B52), Randalstown,  County Antrim, Northern Ireland. BT41 ???",,IJ080905,,"British Security,",Memorial Garden,"Stone Granite, Hard Landscaping, Plants",Garden,Public Unrestricted,,Randalstown British Legion,,,,54.75072466914725,-6.323938431668636
1021,Patrick Azimkar and Mark Quinsey Memorial - (nvtd),"Two British soldiers, Patrick Azimkar and Mark Quinsey, who were killed on 7 March 2009 at Massereene Barracks. The deaths are not included in Sutton's Index of Deaths which covers the period 1969 to 2001.
 Person(s) commemorated",07 March 2009,"Medium-sized memorial stone, with inscription.",Single inscription,"Market Square, High Street, Antrim.  County Antrim, Northern Ireland. BT41","The memorial is sited close to the War Memorial, which is next to Antrim Market House.",IJ146867,,British Security,Memorial Stone,"Stone, Marble?",Street,Public Unrestricted,,,,7 March 2012,No visit to date. The memorial was unveiled following a cross-community service in Antrim on 7 March 2012.,54.71543231244456,-6.221653312125157
103,Aldershot Barracks Bomb Plaque ? - (nvtd),"The seven people killed in an IRA bomb attack on Aldershot military barracks. ??
 Person(s) commemorated",22 February 1972,,,"16 Parachute Brigade Officers Mess, Pennyfathers Road, Aldershot,  Hampshire, England.",,,,"Civilian, and British Securtiy, British Army",Plaque,,Army Barracks,,,Parachute Brigade Office,,,,51.26799701629605,-0.7636305422846885
104,Mayobridge Bomb Plaque ? - (nvtd),"Two British soldiers killed in an IRA bomb attack at Mayobridge, County Down. ??
 Person(s) commemorated",18 November 1989,,,"St Mary the Virgin Church, Church Hill Road, East Barnet, London,  Greater London, England.",,,,"British Security, British Army",Plaque,,"Building Interior, Church",,,,,2003,,51.63730806026839,-0.15725042556155175
105,Mountbatten Memorial - (nvtd),"Louis Mountbatten killed by an IRA bomb in 1979.
 Person(s) commemorated",27 August 1979,,,"Horse Guards Parade, London,  Greater London, England.",,,,Civilian,"Memorial Stone, ?",,Street ?,,,,,,,51.503215699763004,-0.15494836927037378
106,"Baxter, Reid and Shinner Plaque ? - (nvtd)","Three RAF members who were killed in two IRA attacks in the Netherlands. ??
 Person(s) commemorated",01 May 1988,,,"Christ Church, Crook, Wharton,  Cheshire, England.",,,,"British Security, RAF",Plaque,,"Building Interior, Church",,,,,1993,,53.20742276121639,-2.5298362699875865
107,Warrenpoint Bombing Tablet ? - (nvtd),"The 18 British soldiers killed in an IRA attack at Warrenpoint, County Down. ??
 Person(s) commemorated",27 August 1979,,,"St Margaret's Church, Church Street, Crick,  Northamptonshire, England.",,,,"British Security, British Army","Plaque, Tablet",,"Building Interior, Church",,,,,2003,,52.74218168769739,-1.719537969925083
108,Deal Memorial Bandstand (Walmer) ? - (nvtd),"The 11 British soldiers killed in an IRA bomb attack on Deal Barracks,
 Person(s) commemorated",22 September 1989,Bandstand,,"Walmer Green, The Strand, Walmer, Deal,  Kent, England. CT14 7DX",,,,"British Security, British Army","Other, Bandstand",,Garden,,,The Deal Memorial Bandstand Trust,,2 May 1993,"2 May 1993. An Opening Concert and Handing Over Ceremony. Accompanied by a Fanfare,
played by H.M. Royal Marines, Mr.Rohit Tanna of National Round Table handed over a
parchment to Lt.Col.Hoskins, President of The Deal Memorial Bandstand Trust. http://www.dealbandstand.org/index.html",51.223477320094496,1.3828131152003138
109,"Ulster Ash Grove, National Memorial Arboretum - (nvtd)",Person(s) commemorated,,"The National Memorial Arboretum is the United Kingdom's living and lasting memorial to commemorate and celebrate: those who have given their lives in the service of their country; all who have served and those who have suffered as a result of conflict, others who for specific or appropriate reasons are commemorated on the site.  Within the National Memorial Arboretum site is a circular stone structure which in 2007 bore the names of 16,000 service personnel who had been killed killed in combat and training as well as in acts of terrorism since the Second World War.",,"Croxall Road, Alrewas, near Lichfield,  Staffordshire, England. DE13 7AR",,,,"British Security, British Army, British Service Personnel","Other, Commemorative trees",Trees,"Other, Parkland",,"The stone circle was dedicated on 12 October 2007 by The Queen, the Duke of Edinburgh and Prince of Wales.",Northern Ireland Office,,2003,See web site: http://www.thenma.org.uk/ and BBC story: http://news.bbc.co.uk/1/hi/uk/7040801.stm,52.74218168769739,-1.719537969925083
11,Hunger Strike Memorial (Ballinasloe) - (nvtd),Person(s) commemorated,,,,"STREET NAME??, Ballinasloe, Galway,  County Galway, Republic of Ireland. n.a.",,IM853311,,"Paramilitary, Republican, IRA",Mural,,Street,,,,,2001,,53.33097531332975,-8.220849774376164
110,"Memorial Stone Circle, National Memorial Arboretum - (nvtd)","All those British military personnel who were killed as a result of the conflict.
 Person(s) commemorated",,"The National Memorial Arboretum is the United Kingdom's living and lasting memorial to commemorate and celebrate: those who have given their lives in the service of their country; all who have served and those who have suffered as a result of conflict, others who for specific or appropriate reasons are commemorated on the site.  Within the National Memorial Arboretum site is a circular stone structure which in 2007 bore the names of 16,000 service personnel who had been killed killed in combat and training as well as in acts of terrorism since the Second World War.",,"Croxall Road, Alrewas, near Lichfield,  Staffordshire, England. DE13 7AR",,,,"British Security, Milirary, British Service Personnel","Memorial Stone, Stone Circle",Portland stone,"Other, Parkland",,"The stone circle was dedicated on 12 October 2007 by The Queen, the Duke of Edinburgh and Prince of Wales.",Northern Ireland Office,Liam O'Connor (architect),2003,See web site: http://www.thenma.org.uk/ and BBC story: http://news.bbc.co.uk/1/hi/uk/7040801.stm,52.74218168769739,-1.719537969925083
111,Bessbrook Bomb Plaque ? - (nvtd),"The four soldiers killed by an IRA bomb attack near Bessbrook, County Armagh. ??
 Person(s) commemorated",19 May 1981,,,"St. Alban's Church, Acton, London,  Greater London, England.",,,,"British Security, British Army",Plaque,,"Building Interior, Church",,,,,,,52.062364655236344,0.7181873456568613
112,Birmingham Pub Bombs Memorial ? - (nvtd),"The 21 civilians killed by the IRA in two bombings at pubs in Birminham. ??
 Person(s) commemorated",21 November 1974,,,"St. Philip's Cathedral, Colmore Row, Birmingham,  West Midlands, England. B3 2QB",,,,Civilian,Plaque,,"Building Interior, Church",,,,,1975,,52.4800928208044,-1.8811022720717738
113,M62 Motorway Bombing Memorial - (nvtd),"The nine British soldiers and three civilians killed in an IRA bomb attack on 4 February 1974.
 Person(s) commemorated",04 February 1974,,,"Hartshead Moor Service Station near Bradford M62 Westbound, Huddersfield,  Hereford, England.",In the Hartshead Moor Service Station on the Westbound carriageway of the M62; on a lawned area beside some flagpoles.,,"On the outside wall of a shop which forms part of the Motorway Service Station. The original plauqe was moved to the Imperial War Museum North in Manchester.  ""Relatives of those who died felt the old memorial was not in an appropriate place as it was in the corner of a shop surrounded by merchandise."" (BBC news item)","British Security, British Army, and Civilian","Plaque, and Tree","Stone, Plant","Other, Motorway",Private Unrestricted,"On the 35th anniversary of the bombing a rededication ceremony was held at the Service Station. A new memorial plaque, set in a piece of Yorkshire stone, was unveiled.",Families; Royal British Legion; 'Life for Life',,"1975, 2009",,53.65830681925916,-1.8033096359937524
114,Hyde Park Bomb Memorial - (nvtd),"The four British soldiers killed by an IRA bomb on South Carriage Drive, near Hyde Park, London.
 Person(s) commemorated",20 July 1982,"A stone plaque, set on a low inclined plinth, within a U-shaped hedge.",The inscription provides brief details of the circumstances of the bombing and names the four soldiers killed.,"South Carriage Drive, near Hyde Park, Kensington, London,  Greater London, England.","The memorial is located on a green, next to the pavement, at the eastern end of South Carriage Drive. Approximately 300 metres from Hyde Park Corner.",,,"British Security, British Army",Plaque,Stone,"Other, Parkland",Public Restricted (plaque is behind a low metal fence),,The memorial was paid for by subscriptions from members of the public and the Armed Forces.,,,,52.77025810079844,-3.138306149918946
115,Kevin Pullin Plaque ? - (nvtd),"A British soldier killed by the IRA in Crossmaglen, County Armagh. ??
 Person(s) commemorated",17 July 1993,,,"TA and Cadet Centre, York Road, Paignton,  Devonshire, England.",,,,"British Security, British Army",Plaque,,Army Barracks,,,,,2003,,,
116,Warrenpoint Bombing Plaque ? - (nvtd),"The 18 British soldiers killed in an IRA attack at Warrenpoint, County Down. ??
 Person(s) commemorated",27 August 1979,,,"All Saints Garrison Church, Farnborough, Aldershot,  Hampshire, England.",,,,"British Security, British Army",Plaque,,"Building Interior, Church",,,,,,,51.27893232482859,-0.7512508352684593
117,Alan Kennington Plaque ? - (nvtd),"Alan Kennington who was shot in Belfast.
 Person(s) commemorated",28 February 1973,,,"St Lawrence's Church, Wick ?? St Lawerence,   Somerset, England.",,,,"British Security, British Army",Plaque,,"Building Interior, Church",,,Community,,1993,,,
118,Harrod's Bombing Memorial ? - (nvtd),"The three police officers and three civilians killed by an IRA bomb at Harrod's Department Store.
 Person(s) commemorated",17 December 1983,,,"Harrods Department Store, Brompton Road, Knightsbridge, London,  Greater London, England.",,,,"Civilian, British Police,","Other, Pillar",,Street ?,,,,,1985,,,
119,Regents Park Bombing Plaque ? - (nvtd),"The seven British soldiers killed by an IRA bombing in Regents Park. ??
 Person(s) commemorated",20 July 1982,,,"Regents Park, Regents Park, London,  Greater London, England.",,,,"British Security, British Army",Plaque,,"Other, Parkland",,,,,,,51.52631096938258,-0.15322189665311953
12,Seamus Ludlow Memorial,"Seamus Ludlow.
 Person(s) commemorated",02 May 1976,The memorial is comprised of a plaque set into a concrete plinth which has been build on top of a stone wall that forms the boundary to a field.,Single inscription.,"Bog Road, Thistle Cross Roads, Ballymascanlan,  County Louth, Republic of Ireland. n.a.","Approximately 1km south-east of Thistle Cross Roads, junction with N1 (Dundalk to Newry road), a few metres into an unpaved farm lane (next to a house).  The memorial is sited where Seamus Ludlow's body was found.",IJ076109,,Civilian,"Other, Memorial plaque on plinth","Stone, Marble",Road,Public Unrestricted,,Family and friends,,2005,,54.036023135203145,-6.358479031503811
120,Brian Thomas Plaque ? - (nvtd),"Brian Thomas who was shot by the IRA in Belfast.
 Person(s) commemorated",24 July 1972,,,"New Zealand House, Water Street, Liverpool,  Liverpool, England.",,,,"British Security, British Army",Plaque,,Building Interior ?,,,King's Regiment,,,,53.41312897739416,-2.983900329680912
1200,Wallace Allen Memorial ? (nvtd),Person(s) commemorated,,,,"Cladymore Presbyterian Church Cladymilltown Road (B78), Clady Milltown,  County Armagh, Northern Ireland.",Cladymilltown Road (B78) beside the Cladymore Road junction,IH945355,,"British Security, British Police, RUCR","Plaque, Tablet ?",,"Building Interior, Church",,,,,1981,,54.259468479763434,-6.551094310858966
1201,Anthony Hughes Plaque,"OIRA member Anthony 'Tony' Hughes.
 Person(s) commemorated",09 April 1973,Stone plaque fixed to gable wall.,Single inscription.,"Culdee Terrace, Culdee Street, Windmill, Armagh,  County Armagh, Northern Ireland. BT61 ???",On gable wall of house.,IH872450,,"Paramilitary, Republican, IRA, OIRA",Plaque,Stone Marble??,Street,Public Unrestricted,,,,,,54.3464580863588,-6.659282459291282
1202,Joseph Lemon Banner - (nvtd),Person(s) commemorated,,Banner includes depiction of Joseph Lemon and James McWhirter.,Innocent victims - we will remember them,"Bessbrook Orange Hall STREET NAME ??, Bessbrook,  County Armagh, Northern Ireland. BT35",,I?419807,,"Civilian, Loyal Order, Orange Order","Other, Banner",Cloth,Building Interior,Private Restricted,,Bessbrook Purple Star LOL 959,,July 1992,,,
1203,David Montgomery Plaque ? - (nvtd),Person(s) commemorated,,,,"Trinity Church, Soldierstown Road ??, Aghalee,  County Antrim, Northern Ireland.",,IJ118652,,"British Security, British Police, RUC",Plaque,,"Building Interior, Church",,,,,,++ COULD NOT LOCATE ++,54.52328417742076,-6.273326797979455
1204,Herbert Burrows Arch (Armagh Orange Hall) ? - (nvtd),"Orange Order member Herbert Burrows.
 Person(s) commemorated",03 March 1984,,,"Armagh Orange Hall, The Mall East, Armagh,  County Armagh, Northern Ireland. BT61 ???",Inside Armagh Orange Hall.,IH879453,,"Civilian, Loyal Order, Orange Order","Other, Orange Arch",,"Building Interior, Orange Hall",Private Restricted,,,,1984,++ NEED TO ARRANGE ACCESS ++,54.34865958736515,-6.648845231866485
1205,Emma Donnelly Memorial Tree,"Emma Donnelly (14) who was killed with her grandfather Bernard Lavery.
 Person(s) commemorated",23 November 1988,Believed to be an ash tree; no memorial plaque present.,n.a.,"St Catherine's College, Nursery Road, Armagh,  County Armagh, Northern Ireland. BT61 ???","In the grounds of St Catherine's College, at the rear entrance, junction with Nursery Road. Tree on right-hand side just inside the gate.",IH867452,,Civilian,"Other, Tree",Tree,"Building Grounds, School Grounds",Private Restricted (viewable when school gates open),,St Catherine's College Armagh,n.a.,1988,++ Unsure if the tree photographed was the correct one. ++,54.34790211866726,-6.667170918862181
1206,Robert Freeburn Memorial Tablet - (nvtd),"Orange Order member Robert Freeburn killed with nine others at Kingsmills.
 Person(s) commemorated",05 January 1976,,,"Tullyhappy Orange Hall, Armagh Road, Tullyhappy, Bessbrook (near),  County Armagh, Northern Ireland. BT35 ???",Approximately 3.5 kilometres north of Bessbrook; just off the Newry Road (A28),IJ040323,,Civilian,"Plaque, Tablet",Stone,"Building Interior, Orange Hall",Private Restricted,,,,5 May 1978,++ NEED TO ARRANGE ACCESS ++,54.229065440158834,-6.4060171186087125
1207,Raymond McCreesh Mural (Camlough),"IRA Hunger Striker Raymond McCreesh.
 Person(s) commemorated",21 May 1981,"A large wall mural featuring a central portrait, rural scene; shields of the four provinces; and Celtic cross.",Inscription in Irish and in English.,"Quarter Road, Camlough,  County Armagh, Northern Ireland. BT35 ???",On gable wall of house at the junction of Quarter Road and Main Street in the middle of the village of Camlough.,IJ038270,,"Paramilitary, Republican, IRA",Mural,Paint,Street,Private Restricted (viewable from the street),,Sinn Fein,,1998 ??,,54.18130346320771,-6.410183693925754
1208,Raymond McCreesh Memorial (Camlough),"IRA Hunger Striker Raymond McCreesh; also the other Republican Hunger Strikers who died in 1981.
 Person(s) commemorated",21 May 1981,"Large memorial comprised of a Celtic cross, a large memorial stone, on a three step plinth, within a medium sized memorial garden, enclosed with a wooden fence and two metal gates. The garden also includes ten small memorial stones bearing the names of the ten Republican Hunger Strikers.","Main inscription in Irish, also names of ten Hunger Strikers.","Newry Road (A25), Camlough,  County Armagh, Northern Ireland. BT35","On the eastern edge of Camlough Village, approximately 500 metres from the centre of the village.",IJ042271,,"Paramilitary, Republican, IRA, INLA",Memorial Garden,Stone Granite; Hard Landscaping; plants; Metal Iron,Street,Public Unrestricted (gates unlocked),The memorial has been damaged and repaired in the past. The chip missing from the step was left as a reminder of the last attack on the memorial.,,,,,54.18208941943459,-6.404394047520527
121,Tim Parry Jonathan Ball Foundation for Peace,"Two children, Tim Parry (12) and Jonathan Ball (3), who were killed by an IRA bomb in Warrington in 1993.
 Person(s) commemorated",20 March 1993,,,"Peace Centre, Peace Drive, Great Sankey, Warrington,  Cheshire, England. WA5 1HQ",,,,Civilian,"Other, Peace Centre",,Building Interior,,,Family,,,See web site: http://www.foundation4peace.org/,53.41781091484486,-2.652767797744594
1210,Republican Roll of Honour (Drumbeg),"Twelve IRA members, one women member of the IRA, and two Sinn Fein members.
 Person(s) commemorated",,,1916 1997 | Oglaigh na hÉireann | etc |  81st Anniversary,"Drumbeg, Drumbeg Estate, Craigavon,  County Armagh, Northern Ireland. BT65 ???",In the middle of the Drumbeg Estate; off the Tullygally East Road.,IJ067569,,"Paramilitary, Republican, IRA, Political Activist, SF",Mural,Paint,Street,Public Unrestricted,The mural is faded and weathered.,,,1997,Only seven of the 15 people named appear in Sutton's Index of Deaths.,54.44942606216685,-6.356054266606632
1211,Brian Frizzell Plaque ? - (nvtd),Person(s) commemorated,,,,"Drumbeg, Drumbeg estate, Craigavon,  County Armagh, Northern Ireland.",,IJ066572,,Civilian,Plaque,,Street,,,Community,,2001,++ COULD NOT LOCATE ++,54.452577982703964,-6.357253941456005
1212,Fergal Caraher Memorial ? - (nvtd),Person(s) commemorated,,,,"STREET NAME ?? Crossmaglen,  County Armagh, Northern Ireland.",,IH913152,,"Paramilitary, Republican, IRA, INLA","Plaque, ?",,Street ?,,,,,1991,++ NEED ADDITIONAL INFORMATION ++,54.07790708340815,-6.60586193946544
1213,Hunger Srike Memorial (Crossmaglen),"The twelve Republicans who died on Hunger Strike from 1974 to 1981.
 Person(s) commemorated",03 June 1974,"Large rough-cut memorial stone with a set of inscriptions on one side. The stone also includes depictions of the shields of the four provinces of Ireland, and a motif based on the H-Block symbol and 10 white doves escaping.",Several inscriptions on one side of the monument,"Newry Road (B30), Crossmaglen,  County Armagh, Northern Ireland. BT35 9JH",Close to the centre of the village on the Newry Road; not far from the junction of Newry Road and McCormick Place.,IH912152,,"Paramilitary, Republican, IRA, INLA",Memorial Stone,Stone Granite,Street,Public Unrestricted,,The Republican Movement South Armagh,,21 October 2001,,54.078209386333285,-6.607914476695418
